Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Kissing Hand,,,,,Audrey Penn,"Penn, Audrey",,,,,Tanglewood Press,2007/06/25,2007,,Internet Archive Wishlist,"The Kissing Hand, used by millions of parents and children starting school or facing separation, is now brought to life in an ebook. A perfect addition to the home, classroom or library audio collection!",,,,,,,24,,,,,,,,,9781933718101,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.482995986,,,,,,,,0,https://covers.openlibrary.org/b/id/2130518-L.jpg,
Kite Flying,,,,,Grace Lin,"Lin, Grace",,,,,Alfred A. Knopf,,2002,,Juvenile Nonfiction,"The family from Dim Sum for Everyone! is back for a new outing– building and flying their own kite! The wind is blowing. It is a good day for kites! The whole family makes a trip to the local craft store for paper, glue, and paint. Everyone has a job: Ma-Ma joins sticks together. Ba-Ba glues paper. Mei-Mei cuts whiskers while Jie-Jie paints a laughing mouth. Dragon eyes are added and then everyone attaches the final touch . . . a noisemaker! Now their dragon kite is ready to fly.Kite Flying celebrates the Chinese tradition of kite making and kite flying and lovingly depicts a family bonded by this ancient and modern pleasure.",,,,,,,32,,,,,English,,,,9780375915208,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.146689057,,,,,,bl8NAAAACAAJ,,0,,
"Kitty Cat, Kitty Cat, Are You Going to School?",,,,,"Bill Martin, Michael Sampson","Martin, Bill",,,,,Amazon Publishing,,2013,,Juvenile Fiction,"On the first day of school, Kitty Cat discovers that there are lots of things to enjoy. She plays, she enjoys a snack, she paints, she sings, she listens to a story, and she shares something special during Show-and-Tell. The day ends with a big hug from her mom. Children will love Laura J. Bryant's appealing illustrations that bring Kitty Cat to life, along with the other adorable kittens at the school.",,,,,,,28,,,,,English,,,,9781477817223,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.153017997,,,,,,bCBrmwEACAAJ,,0,,
Let's Visit Vancouver!,,,,,Lisa Manzione,"Manzione, Lisa",,,,,"Bella & Harry, LLC",2014/10/01,2014,,Juvenile Fiction,"Join sibling Chihuahuas Bella & Harry as they travel to Vancouver with their family and visit Whistler Mountain, Stanley Park and other fun places. Along the way, walk across the Capilano Suspension Bridge, explore Grouse Mountain, Vancouver Island and sample the local cuisine. The Adventures of Bella & Harry is a picture book series that chronicles the escapades of a pup named Bella, her little brother Harry and their family, who travel the world exploring the sights and sounds of new, exciting cities. The “Bella & Harry” series is intended to be an informative, interactive and exciting way to introduce children to travel, different countries, customs, history and landmarks with the educational value of this book cleverly disguised amidst dozens of illustrated pages which are sure to win the hearts of young readers.Traveling the world with these two cute and cuddly Chihuahuas will allow the young reader to gain an appreciation of the world and its cultural diversity.Happy Travels from Bella Boo and Harry too!!!",,,,,,,35,,,,,English,,,,9781937616540,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.89570045,,,,,,-kjHnQEACAAJ,,0,,
Little Bear Goes to Kindergarten,,,,,Jutta Langreuter,"Langreuter, Jutta",,,,,Millbrook Press,,1997,,Juvenile Fiction,"It is the first day of school and Little Bear thinks school will be wonderful--but only if Mama stays with him. Young children looking forward to their first day at kindergarten will understand how Little Bear feels, and will be encouraged when they see that by the end of the day Little Bear is having so much fun he doesn't want to leave!",,,,,,,32,,,,,English,,,,9780761301912,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.604545950,,,,,,JSY57yyvsT0C,,0,,
Little Critter: Going to the Firehouse,,,,,Mercer Mayer,"Mayer, Mercer",,,,,Harper Collins,2008/06/24,2008,,Juvenile Fiction,"Whoosh! goes the water hose. Ooo! Eee! Ooo! goes the siren. Ding! Ding! goes the fire alarm.   Little Critter and his classmates are taking a trip to the firehouse! Little Critter puts on his boots and jacket—now he's ready to help Fireman Joe. After checking the hose and ladder, Little Critter is ready for a fireman's helmet of his own. Join Little Critter as he learns to stop, drop, and roll with Fireman Joe!   This sweet, simple story is perfect for emergent readers ready to climb their own ladder.",,,,,,,32,,,,,English,,,,9780060835453,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.159145951,,,,,,cGkHrQQ2dEYC,,0,,
Mr. Putter & Tabby dance the dance,,,,,Cynthia Rylant,"Rylant, Cynthia",,,,,Harcourt Children's Books,,2012,,Neighbors,,,,,,,,,,,,,English,,,,9780152064150,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.555160999,,,,,,,,0,http://images.amazon.com/images/P/015206415X.01Z.jpg,
Mr. Putter & Tabby Spin the Yarn,,,,,Cynthia Rylant,"Rylant, Cynthia",,,,,Houghton Mifflin Harcourt,,2006,,Juvenile Fiction,"When Mrs. Teaberry announces that she's starting a knitting club, Mr. Putter is happy to help out. But disaster strikes when Tabby and Zeke want to pitch in, too. Gertrude's vegetable hat goes flying, Mrs. Fitzwater's sweater completely unravels, and the whole afternoon ends up inquite a tangle.  With its action-packed story and hilarious illustrations, this fifteenth yarn in the beloved Mr. Putter & Tabby series promises to have everyone in stitches.",,,,,,,44,,,,,English,,,,9780152050672,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.202507972,,,,,,sK91JtWInIcC,,0,,
Mr. Putter and Tabby See the Stars,,,,,Cynthia Rylant,"Rylant, Cynthia",,,,,Houghton Mifflin Harcourt,,2007,,Juvenile Fiction,"After Mr. Putter eats exactly twenty-one of Mrs. Teaberry's delicious pineapple jelly rolls, he ends up with a grumbling tummy--and a bad case of insomnia! A midnight stargazing stroll with Tabby seems to be just the cure. But could it be that Mr. Putter and Tabby aren't theonly ones still wide awake?   Take a wondrous nighttime stroll with good friends in this sixteenth fun adventure in the Mr. Putter & Tabby series.",,,,,,,42,,,,,English,,,,9780152060756,0,0,,Unread,,,,,,,0,,,,2018/08/31 09:36:16.590592026,,,,,,LEOHjQMotNsC,,0,,
My Beautiful Birds,,,,,Suzanne Del Rizzo,"Rizzo, Suzanne Del",,,,,Pajama Press,,2017,,Juvenile Fiction,"""Behind Sami, the Syrian skyline is full of smoke. The boy follows his family and all his neighbors in a long line, as they trudge through the sands and hills to escape the bombs that have destroyed their homes. But all Sami can think of is his pet pigeons--will they escape too? When they reach a refugee camp and are safe at last, everyone settles into the tent city. But though the children start to play and go to school again, Sami can't join in. When he is given paper and paint, all he can do is smear his painting with black. He can't forget his birds and what his family has left behind. One day a canary, a dove, and a rose finch fly into the camp. They flutter around Sami and settle on his outstretched arms. For Sami it is one step in a long healing process at last. A gentle yet moving story of refugees of the Syrian civil war, My Beautiful Birds illuminates the ongoing crisis as it affects its children. It shows the reality of the refugee camps, where people attempt to pick up their lives and carry on. And it reveals the hope of generations of people as they struggle to redefine home.""--Provided by publisher.",,,,,,,32,,,,,English,,,,9781772780109,0,0,,Unread,,,,,,,0,,,,2018/09/13 07:43:05.125885963,,,,,,TxWWDAEACAAJ,,0,,
