Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Publisher,Date Published,Year Published,Genre,Edition,Editor,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Original Title,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Ginger,,,,Charlotte Voake,"Voake, Charlotte",,,,Candlewick Press,,1997,Juvenile Fiction,,,"Ginger the cat lives a comfortable, well-tended life. But when a pesky kitten moves in, Ginger's days of ease of over. Now it seems he must share his bed and his meals with the intruder forever. What is a pampered cat to do? Full-color illustrations.",,,,,,,,32,,,,,English,,,,9780763601089,0,0,,Unread,,,,,,,0,,,,2018/04/03 14:00:54.750777006,,,,,,KFThAAAAMAAJ,,0,,
Henry's Amazing Machine,,,,Dayle Ann Dodds,"Dodds, Dayle Ann",,,,"Farrar, Straus and Giroux",,2004,Juvenile Fiction,,,"Inventors, rejoice!From the time Henry is a baby he loves to put things together -- wheels with rods, switches with levers, cranks with gears. By the age of six, he's built an Amazing Machine that fills his entire room. But Henry doesn't mind. He keeps on building. By the time he's ten, the machine has taken over the entire house --- and the yard. His parents are proud of Henry, but they're getting a little worried. They can't help wondering: What does it do?  Rollicking text and ingenious collage illustrations full of visual humor add to the fun in this clever picture book sure to inspire and delight every young inventor and builder.",,,,,,,,32,,,,,English,,,,9780374329532,0,0,,Unread,,,,,,,0,,,,2018/04/17 07:50:50.927595973,,,,,,vAXaPQAACAAJ,,0,,
Hercules,,,,Disney,Disney,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,Unread,,,,,,,0,,,,2018/04/03 14:00:36.734856009,,,,,,,,0,https://s3.amazonaws.com/kimicoapps-bookbuddy/54A16F75-9DF2-40B0-BE2C-359DE983E142,
If You Give a Pig a Party,,,,Laura Joffe Numeroff,"Numeroff, Laura Joffe",,,,Laura Geringer Books,,2005,Juvenile Fiction,,,One thing leads to another when you give a pig a party.,,,,,,,,,,,,,English,,,,9780061921599,0,0,,Unread,,,,,,,0,,,,2018/03/29 14:37:13.952093005,,,,,,RDIPSQAACAAJ,,0,https://covers.openlibrary.org/b/id/8018359-L.jpg,
"In the trees, honeybees!",,,,Lori Mortensen,"Mortensen, Lori",,,,Dawn Publications,,2009,Internet Archive Wishlist,,,,,,,,,,,,,,,,,,,,9781584691150,0,0,,Unread,,,,,,,0,,,,2018/04/19 13:27:29.325765013,,,,,,,,0,https://covers.openlibrary.org/b/id/6666386-L.jpg,
Lightning Was Here,,,,Calliope Glass,"Glass, Calliope",,,,Disney Press,2010/11/09,2010,Juvenile Fiction,,,"Let Lightning McQueen be your guide on this extra-special tour of Radiator Springs! You’ll get an inside look at all the cool hangouts—from Mater's tow yard, to Luigi’s Casa Della Tires, to Fillmore’s dome, and much more! Fans young and old will love finding out even more about the wonderful world of Cars in this delightful jacketed storybook.",,,,,,,,56,,,,,English,,,,9781423131540,0,0,,Unread,,,,,,,0,,,,2018/04/17 07:50:50.941612005,,,,,,I4bvQwAACAAJ,,0,,
Little Trucks With Big Jobs,,,,Robert Maass,"Maass, Robert",,,,Macmillan,2007/08/07,2007,Juvenile Nonfiction,,,"Calling all truck fans!Big trucks are impressive and powerful, but little trucks are important, too. A tow truck, ambulance, forklift, and plane tug are just a few of the little trucks that have big jobs. Size doesn't matter when it comes to getting the job done. It's all in a day's work for these mighty trucks.",,,,,,,,32,,,,,Arabic,,,,9780805077483,0,0,,Unread,,,,,,,0,,,,2018/04/10 14:26:41.456905961,,,,,,DqHvm0uYGlQC,,0,,
M Is for Majestic,A National Parks Alphabet,,,David Domeniconi,"Domeniconi, David",,,,Sleeping Bear Press,2006/12/15,2006,Juvenile Nonfiction,,,"Mighty mountains, wild rivers, fiery volcanoes, huge glaciers, vast forests, tropical islands -- all part of our National Parks, belonging to you and me. This magnificent ABC book showcases each of America's National Parks from Acadia and American Samoa to Yosemite and Zion. California travel writer David Domeniconi masterfully includes each of the more than 50 National Parks in this A-Z pictorial. Illustrator Pam Carroll's keen attention to detail makes this title one for everyone across the land to read and enjoy. David Domeniconi grew up in San Francisco and graduated from San Francisco State College. He is a writer and illustrator whose work has appeared in several West Coast publications. His illustrated travel column, ""Travelog"" is a regular feature in the Santa Barbara Press. He lives in Carmel-by-the-Sea with his wife, Janet.Pamela Carroll embraces the traditional focus of realism and pictorial illusionism. Her style of painting has been greatly influenced by the early Dutch Masters and the American Realists from the Second School of Philadelphia. She lives with her husband in Carmel, California, where she paints daily, and is an active member of the Carmel Art Association.",,,,,,,,32,,,,,English,,,,9781585363339,0,0,,Unread,,,,,,,0,,,,2018/04/17 07:50:50.931246995,,,,,,gGgkAAAACAAJ,,0,,
"Mary and the Mouse, the Mouse and Mary",,,,Beverly Donofrio,"Donofrio, Beverly",,,,Schwartz & Wade Books,,2007,Juvenile Fiction,,,"MARY LIVED IN A BIG HOUSE with a very little mouse. The mouse lived in a little house inside of a very big house, with Mary. Even though Mary has been warned to stay away from mice—and Mouse has been warned to steer clear of people—the two can't help but peek at one another. Side by side, they grow up, go to college, get married, and have children of their own—Maria and MouseMouse. And then one day, Maria and MouseMouse do something surprising . . . something their parents never did. They actually come nose-to-nose and speak to one another!",,,,,,,,32,,,,,English,,,,9780375836091,0,0,,Unread,,,,,,,0,,,,2018/04/17 07:50:50.946570992,,,,,,_94h2wkrg0kC,,0,,
Max's Easter Surprise,,,,Rosemary Wells,"Wells, Rosemary",,,,Penguin Group (USA) Incorporated,,2008,Juvenile Fiction,,,"Ruby and her friend Louise are decorating Easter eggs, but Max wants to have an Easter Parade. Big sister Ruby tells Max that the Easter Parade is tomorrow, but that he can help today by carrying all the decorated eggs to the Easter basket. But Max doesn?t want to just carry the eggs?he wants to march them in a parade!",,,,,,,,24,,,,,English,,,,9780448447834,0,0,,Unread,,,,,,,0,,,,2018/03/29 14:37:46.813058972,,,,,,iKOuPQAACAAJ,,0,,
