Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
1001 Things to Spot on Vacation,,,,,Hazel Maskell,"Maskell, Hazel",,,,,Edc Pub,6/1/2011,2011,,JUVENILE NONFICTION,"Presents thirteen picture puzzles in which the reader must find objects, animals, and people in such places that attract vacationers as an airplane, a dude ranch, a whale-watching tour, ski slopes, and a carnival parade.",,,,,,,32,,22.90 x 1.30 x 28.00 cm,,,English,,,709670098,9.78079E+12,0,0,,Unread,,,,,,,0,,,,48:23.7,,,,,,QhSiuAAACAAJ,,0,,
999 Frogs Wake Up,,,,,Ken Kimura,"Kimura, Ken",,,,,NorthSouth,1/1/2013,2013,,Animals,"Wake up—it’s springtime in the swamp! As 999 young frogs awaken, they panic to find that all of the other animals are still asleep. First they wake the biggest frog… then the tortoise, the lizard, and the ladybugs. But when they hop down a hole and all pull together, they find someone they don’t want to wake—a big, long snake. Don’t wake him up! Luckily for the frogs, the tortoise carefully carries him away. Ken Kimura and Yasunari Murakami are back again in this delightful tale about frogs and friendship!",,,,,,,48,,21.50 x 1.30 x 25.40 cm,,,English,,,826025113,9.78074E+12,0,0,,Unread,,,,,,,0,,,,48:23.7,,,,,,ywCLMAEACAAJ,,0,,
A Day at Camp,,,,,Mercer Mayer,"Mayer, Mercer",,,,,McGraw-Hill Children's Pub.,,2003,,Juvenile Fiction,"Let Little Critter(R) take your child on a reading adventure! Little Critter and his friends spend a fun day at camp doing crafts, games, and sports. A Day at Camp is an original Little Critter First Reader for children ages 5 to 7. This charming leveled reader features: *Repetition of familiar words and sound patterns for ease of readability *Colorful illustrations for visual cues *Skill-based activities and a vocabulary list at the end of the book to help reinforce reading comprehension and fluency. Our Little Critter(R) First Readers series is helping kids develop key reading skills! Featuring 30 titles for children ages 3 to 8, each book contains an original and engaging Little Critter story about a situation that most kids will find familiar - a trip to the zoo, a day at camp, a class outing. Young readers will enjoy these simple and attractive stories written with their reading level in mind. Check out the other titles in this series! These stories offer more than just entertainment, they are everything a child needs to ensure reading success!",,,,,,,24,,14.20 x 0.30 x 23.00 cm,,,English,[E],PZ7.M462 Day 2003,50002824,9.78158E+12,0,0,,Unread,,,,,,,0,,,,48:23.8,,,,,,j-jpD6it_ooC,,0,,
A Fine Dessert,,"Four Centuries, Four Families, One Delicious Treat",,,Emily Jenkins,"Jenkins, Emily",,,,,Schwartz & Wade Books,,2015,,Juvenile Fiction,"A New York Times Best Illustrated Book From highly acclaimed author Jenkins and Caldecott Medal-winning illustrator Blackall comes a fascinating picture book in which four families, in four different cities, over four centuries, make the same delicious dessert: blackberry fool. This richly detailed book ingeniously shows how food, technology, and even families have changed throughout American history. In 1710, a girl and her mother in Lyme, England, prepare a blackberry fool, picking wild blackberries and beating cream from their cow with a bundle of twigs. The same dessert is prepared by an enslaved girl and her mother in 1810 in Charleston, South Carolina; by a mother and daughter in 1910 in Boston; and finally by a boy and his father in present-day San Diego. Kids and parents alike will delight in discovering the differences in daily life over the course of four centuries. Includes a recipe for blackberry fool and notes from the author and illustrator about their research.",,,,,,,44,,30.00 x 1.20 x 25.00 cm,,,English,[E],PZ7.J4134 Fhn 2015,745765966,9.78038E+12,0,0,,Unread,,,,,,,0,,,,48:23.7,,,,,,vgHhDAAAQBAJ,,0,,
A Funny Little Bird,,,,,Jennifer Yerkes,"Yerkes, Jennifer",,,,,Sourcebooks Jabberwocky,5/7/2013,2013,,Juvenile Fiction,"A heartwarming tale about an invisible bird who learns the key to happiness and friendship  A lonely, invisible bird mistakenly believes that adorning himself with flashy feathers and flowers will make him beautiful and win him new friends. Except his plan quickly backfires when his magnificent plumage attracts the attention of everyone, even the fox! In his rush to safety, the little bird loses every last bit of his new decorations, making him invisible once again. But now in place of his loneliness is the knowledge that putting others first is the key to friendship and high self-esteem.",,,,,,,48,,21.40 x 1.30 x 24.90 cm,,,English,[E],PZ7.Y483 Fun 2013,808413965,9.7814E+12,0,0,,Unread,,,,,,,0,,,,42:34.6,,,,,,uMsDnwEACAAJ,,0,,
A Picture for Harold's Room,,A purple crayon adventure,,,Crockett Johnson,"Johnson, Crockett",,,,,HarperCollins,10/2/1985,1985,,Juvenile Fiction,"From the treasured author of Harold and the Purple Crayon, Crockett Johnson, comes an I Can Read adventure for Harold and his magical purple crayon.Harold needs a picture for his bedroom wall, so he takes his purple crayon and begins to create a whole new world around him. But then he notices he has gotten very small—half the size of a daisy! Only a very clever artist could find his way home now.This Level 1 I Can Read imagination-sparking adventure is perfect for the beginning reader learning to sound out words and sentences.",,,,,,,64,,14.00 x 0.50 x 22.00 cm,,,English,,,8991676,9.78006E+12,0,0,,Unread,,,,,,,0,,,,48:23.8,,,,,,ShzhAAAAMAAJ,,0,,
Amelia Bedelia's First Library Card,,,,,"Herman Parish, Lynne Avril","Parish, Herman",,,,,Greenwillow Books,,2013,,Fiction,,,,,,,,,,,,,,[E],PZ7.P2185 Arl 2013,808107429,9.78006E+12,0,0,,Unread,,,,,,,0,,,,42:34.6,,,,,,,,0,http://images.amazon.com/images/P/0062095137.01Z.jpg,
Annie and Snowball and the Dress-up Birthday,,,,,Cynthia Rylant,"Rylant, Cynthia",,,,,Simon and Schuster,4/22/2008,2008,,Juvenile Fiction,"Annie and her pet bunny, Snowball, love living next door to Annie's favorite cousin, Henry and his dog, Mudge. Whether it's playing Frisbee or watching old movies, there's no shortage of fun to be had when these four are together.   Annie's birthday is coming up, and she can't wait to invite Henry and Mudge over for a dress-up party. But when the guests arrive, it's Annie who gets the big surprise!",,,,,,,40,,15.20 x 0.50 x 22.90 cm,,,English,,,225868134,9.78142E+12,0,0,,Unread,,,,,,,0,,,,42:34.5,,,,,,6XWVCwAAQBAJ,,0,,
Ballerina Rosie,,,,,Sarah Ferguson,"Ferguson, Sarah",,,,,Simon & Schuster/Paula Wiseman Books,8/28/2012,2012,,Juvenile Fiction,"From New York Times bestselling author Sarah Ferguson, The Duchess of York, a picture book starring a lovable and spunky character who will inspire prima ballerinas everywhere!More than anything, Rosie loves to dance and wants to be a prima ballerina. But when she enrolls in ballet school, she can’t seem to master the plié or balance her arabesque. Never mind the grand jeté! Is there any hope for Rosie’s big dreams? With charming text from Sarah Ferguson, The Duchess of York, and delightful illustrations from Caldecott Honoree Diane Goode, this encouraging story of an aspiring dancer will have readers asking for an encore.",,,,,,,32,,25.40 x 1.30 x 21.00 cm,,,English,[E],PZ7.Y823 Rn 2012,741415784,9.78144E+12,0,0,,Unread,,,,,,,0,,,,42:34.5,,,,,,l_5RXwAACAAJ,,0,,
Ballet School,,,,,"Brett McLaughlin, Gary Pollice, David West","McLaughlin, Brett",,,,,DK Publishing,,2003,,,,,,,,,,,,,,,,,,,9.78079E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,,,0,https://img1.doubanio.com/view/subject/l/public/s24419759.jpg,
Biscuit Goes to School,,,,,Alyssa Satin Capucilli,"Capucilli, Alyssa Satin",,,,,Harper Collins,5/31/2011,2011,,Juvenile Fiction,"Go back to school with Biscuit and share the love of reading with your beginner reader!Biscuit can't wait to go to school! Even though no dogs are allowed, he is determined to see and do everything that takes place at school. But what will happen when the teacher discovers a puppy in his classroom? I Can Read books are widely recognised as the premier line of beginner readers. Inaugurated in 1957 with Else Holmelund Minarik's Little Bear, illustrated by Maurice Sendak, the series has grown to over 200 titles, which include mysteries, adventure stories, poetry, historical fiction, and humour. Featuring award-winning authors and illustrators, and a fabulous cast of classic characters, I Can Read books introduce children to the joy of reading independently.",,,,,,,32,,,,4.99 USD,English,,,826865660,9.78006E+12,0,0,,Unread,,,,,,,0,,,,49:03.5,,,,,,h88-BAAAQBAJ,,0,,
"Cats, Cats!",,,,,Michelle Nelson-Schmidt,"Nelson-Schmidt, Michelle",,,,,Kane Miller,,2011,,Juvenile Fiction,,,,,,,,,,,,,,[E],PZ8.3.N3648 Cat 2011,747281567,9.78161E+12,0,0,,Unread,,,,,,,0,,,,48:23.7,,,,,,,,0,http://images.amazon.com/images/P/1610670426.01Z.jpg,
Cool City,,LegoTM Models to Build - Stickers Included,,,Sean Kenney,"Kenney, Sean",,,,,Macmillan,9/13/2011,2011,,JUVENILE NONFICTION,"Attention young brick builders: Sean Kenney is back with original city creations of all sizes, colors, and features. Build a skyscraper, a brownstone, or how about a mini metropolis! Complete with select model instructions for more than six creations, insider tips, and landscape designs for new LEGO fans as well as diehard enthusiasts. And as a bonus—a sticker sheet to decorate your new city models.",,,,,,,32,,26.00 x 0.80 x 21.00 cm,,8.99 USD,English,745.5928,TT178 .K44 2011,694238111,9.78081E+12,0,0,,Unread,,,,,,,0,,,,48:23.7,,,,,,Uvo6CwAAQBAJ,,0,,
Disney's Once Upon a Princess,,,,,"Various,","Various,",,,,,Hyperion Book CH,9/1/2006,2006,,Juvenile Fiction,,,,,,,,592,,21.60 x 27.30 cm,,,English,,,81253173,9.78142E+12,0,0,,Unread,,,,,,,0,,,,42:34.5,,,,,,KxAbQQswUpEC,,0,,
