Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Dog Blue,,,,,Polly Dunbar,"Dunbar, Polly",,,,,Candlewick Press,7/22/2004,2004,,Juvenile Fiction,"Fetching illustrations from an exciting new talent enliven this tale of a boy who loves dogs and the color blue — and finds a creative way to make his fantasies come true.Bertie wants a dog, a blue dog, more than anything in the world. For now, though, he likes to pretend he has one, patting it, walking it, even playing both sides of a game of fetch. One day, Bertie finds a real dog, and it's puppy love at first sight — or is it? In this story of an inventive boy who meets the dog of his dreams, Polly Dunbar tells an engaging tale full of whimsy and humor.",,,,,,,40,,22.23 x 0.99 x 26.00 cm,,,English,[E],PZ7.D89445 Do 2004,53132450,9.78076E+12,0,0,,Unread,,,,,,,0,,,,42:34.6,,,,,,yMdaAAAAYAAJ,,0,,
Don't Let the Pigeon Drive the Bus!,,,,,Mo Willems,"Willems, Mo",,,,,Hyperion Book CH,4/1/2003,2003,,Juvenile Fiction,"When a bus driver takes a break from his route, a very unlikely volunteer springs up to take his place-a pigeon! But you've never met one like this before. As he pleads, wheedles, and begs his way through the book, children will love being able to answer back and decide his fate. In his hilarious picture book debut, popular cartoonist Mo Willems perfectly captures a preschooler's temper tantrum.",,,,,,,40,,22.86 x 0.95 x 24.00 cm,,,English,[E],PZ7.W65535 Dj 2003,51815360,9.78079E+12,0,0,,Unread,,,,,,,0,,,,48:23.7,,,,,,wmfhAAAAMAAJ,,0,,
Dora Had a Little Lamb,,,,,"Elle D. Risco, Steven Savitsky, Eric Weiner","Risco, Elle D.",,,,,Simon and Schuster,7/24/2007,2007,,Juvenile Fiction,Little Lamb is lost! She can't find her friend Mary. Dora and Boots step into The Big Book of Nursery Rhymes to help Little Lamb find her way back to Mary. Along the way they meet all kinds of favorite nursery rhyme characters!,,,,,,,24,,20.30 x 0.30 x 21.00 cm,,,English,,PZ7.R4898 Do 2007,144221898,9.78142E+12,0,0,,Unread,,,,,,,0,,,,48:23.7,,,,,,01jroREVMiUC,,0,,
Down by the Cool of the Pool,,,,,Tony Mitton,"Mitton, Tony",,,,,Orchard Books,,2002,,Juvenile Fiction,"From the creators of Giraffes Can't Dance, Down By the Cool of the Pool is a sure-fire hit with fun, rhyming text, and zany illustrations.  There's flipping and flopping, splishing and splashing, wiggling and waggling down by the cool of the pool. Frog, Duck, Horse, Pig, and the rest of the gang dance and sing their way through this wacky, watery wonderful story told with a catchy rhyming text and bold, vibrant illustrations. The fun is positively infectious, and you just may find yourself dancing and singing along with Frog and his frolicking friends. Children will delight in this rollicking farmyard romp, an adventure in musical activity--perfect for the nonstop toddler.",,,,,,,32,,24.70 x 0.90 x 31.00 cm,,,English,[E],PZ8.3.M685 Do 2002,46918158,9.78044E+12,0,0,,Unread,,,,,,,0,,,,42:34.5,,,,,,jOnJGwAACAAJ,,0,,
Duck on a Bike,,,,,David Shannon,"Shannon, David",,,,,Scholastic Inc.,7/26/2016,2016,,Juvenile Fiction,"One day down on the farm, Duck got a wild idea. ""I bet I could ride a bike,"" he thought. He waddled over to where the boy parked his bike, climbed on and began to ride. At first he rode slowly and he wobbled a lot, but it was fun! Duck rode past Cow and waved to her. ""Hello, Cow!"" said Duck. ""Moo,"" said Cow. But what she thought was, ""A duck on a bike? That's the silliest thing I've ever seen!"" And so Duck rides past sheep, horse, and all the other barnyard animals. Suddenly, a group of kids ride by on their bikes and run into the farmhouse, leaving the bikes outside. Now ALL the animals can ride bikes, just like Duck!",,,,,,,40,,,,10.99 USD,English,,,954134706,9.78055E+12,0,0,,Unread,,,,,,,0,,,,50:21.3,,,,,,Lcq-CwAAQBAJ,,0,,
Eggday,,,,,Joyce Dunbar,"Dunbar, Joyce",,,,,Holiday House,,1999,,Juvenile Fiction,Dora the duck involves the other barnyard animals in a contest to find out who can lay the best egg.,,,,,,,32,,22.50 x 1.00 x 27.00 cm,,,English,[E],PZ7.D8944 Eg 1999,40200234,9.78082E+12,0,0,,Unread,,,,,,,0,,,,42:34.6,,,,,,k8daAAAAYAAJ,,0,,
Follow Those Feet!,,,,,Christine Ricci,"Ricci, Christine",,,,,Simon and Schuster,6/1/2003,2003,,Juvenile Fiction,Level 1: Starting to Read  • Simple stories  • Increased vocabulary  • Longer sentences  Dora and Boots found some footprints in the sandbox. Whose feet do they belong to? Follow them to find out!,,,,,,,24,,15.20 x 0.30 x 23.00 cm,,,English,[E],PZ7.R355 Fo 2003,49558914,9.78069E+12,0,0,,Unread,,,,,,,0,,,,42:34.5,,,,,,GuiuF1Tm-N0C,,0,,
Good Night Yoga,,A Pose-by-pose Bedtime Story,,,Mariam Gates,"Gates, Mariam",,,,,Sounds True,,2015,,Juvenile Fiction,"Kids love yoga--and it's great for them, so much so that the President's Council has added the practice to the fitness activities in the annual President's Challenge. For parents and caregivers looking for a fun and effective new routine for bedtime, innovative educator Mariam Gates presents Good Night Yoga, a playful yet wholly practical book for preparing for sleep.  This beautifully illustrated, full-color book tells the story of the natural world as it closes down for the night, while teaching children a simple flow of yoga postures inspired by their favorite characters from nature. Moving from ""Sun Breath"" to ""Cloud Gathering"" to ""Ladybug & Butterfly"" and more, readers learn techniques for self-soothing, relaxing the body and mind, focusing attention, and other skills that will support restful sleep and improve overall confidence and well-being.",,,,,,,36,,,,,English,,,,9.78162E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,ARSUoAEACAAJ,,0,,
Hansel & Gretel,,,,,Bethan Woollvin,"Woollvin, Bethan",,,,,Peachtree Publishers,,2018,,Juvenile Fiction,"Deep in the forest lives a witch named Willow. She is a good witch, who only uses good magic?until she meets Hansel and Gretel. Willow never used to worry about messy breadcrumb trails. Or entire portions of her gingerbread house being devoured. Or anyone fiddling with her spells and magic books and causing a ruckus. But Hansel and Gretel are two very naughty and very rude children, and they are trying Willow's patience. This subversive and deliciously wicked retelling of Hansel & Gretel from Bethan Woollvin, creator of Little Red and Rapunzel, features her signature striking and humorous visuals, and a twist ending that is sure to surprise and delight.",,,,,,,32,,25.10 x 0.80 x 25.90 cm,,,English,[E],PZ7.1.W67 Han 2018,1019837266,9.78168E+12,0,0,,Unread,,,,,,,0,,,,42:34.6,,,,,,mAFCtAEACAAJ,,0,,
Happy Like Soccer,,,,,"Maribeth Boelts, Lauren Castillo","Boelts, Maribeth",,,,,Candlewick Press,,2012,,Juvenile Fiction,"A warmhearted story about a young girl who finds a way to bring together the two things that make her most happy- soccer and her family.  Nothing makes Sierra happy like soccer. Her shoes have flames as she spins the ball down the spread-out sea of grass. But nothing makes her sad like soccer, too, because the restaurant where her auntie works is busy on game days and she can’t take time off to watch Sierra play. On game days, her auntie helps Sierra get ready and tells her, ""Play hard and have fun."" And Sierra does, but she can’t help wishing she had someone there to root for her by name, and not just by the number on her uniform. With honesty and rare subtlety, author Maribeth Boelts and illustrator Lauren Castillo portray an endearing character in a moving, uplifting story that touches on the divides children navigate every day- and remind us that everyone needs someone to cheer them on from the sidelines.",,,,,,,32,,,,,English,,,,9.78076E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,YK-8mE0z1u8C,,0,,
Help!,,A Story of Friendship,,,Holly Keller,"Keller, Holly",,,,,Harper Collins,8/21/2007,2007,,Juvenile Fiction,"Mouse, Hedgehog, Rabbit, Squirrel, and Snake are friends. But one day Mouse hears from Skunk (who heard it from Fox) that snakes are dangerous, especially to mice.   Oh, dear!   Can friendship survive gossip? Should friends stick together, no matter what? And what do friends do when a friend is in trouble? Or when a friend has hurt feelings?   Do you know the answers? Mouse and Snake need your help!",,,,,,,40,,25.40 x 0.60 x 25.40 cm,,,English,[E],PZ7.K28132 Hdv 2007,76416466,9.78006E+12,0,0,,Unread,,,,,,,0,,,,48:23.7,,,,,,TlKd-n05oUEC,,0,,
How Animals Sleep,,,,,Emily C. Dawson,"Dawson, Emily C.",,,,,Amicus,7/1/2010,2010,,JUVENILE NONFICTION,"""Compares the different ways various animals sleep, including lying down, standing up, hanging, and more. Includes comprehension activity""--",,,,,,,24,,,,,English,,,,9.78161E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,jxv9RAAACAAJ,,0,,
How Deep is the Sea?,,,,,Anna Milbourne,"Milbourne, Anna",,,,,EDC Publishing,,2010,,Juvenile Fiction,Have you ever wondered how deep the sea is? Pipkin the Penguin wants to know just that. Join him and some underwater friends on an incredible journey to find out.,,,,,,,24,,25.30 x 1.30 x 26.00 cm,,,English,,,499024003,9.78079E+12,0,0,,Unread,,,,,,,0,,,,48:23.6,,,,,,AtqoQQAACAAJ,,0,,
Hyena Ballerina IR,,,,,Russell Punter,"Punter, Russell",,,,,EDC Publishing,,2018,,,"""Hyena longs to become a ballerina, but will her dreams come true? This lively story features bright illustrations and simple rhyming text, specially written for children who are learning to read. A delight to share with very young children, with parents notes on phonics at the back of the book.""",,,,,,,24,,,,,English,,,1001352548,9.78079E+12,0,0,,Unread,,,,,,,0,,,,48:23.7,,,,,,ly81swEACAAJ,,0,,
I am really a princess,,,,,Carol Diggory Shields,"Shields, Carol Diggory",,,,,Dutton Children's Books,,1993,,Parent and child,,,,,,,,,,,,,,[E],PZ7.S554776 Iab 1993,27066239,9.78053E+12,0,0,,Unread,,,,,,,0,,,,48:23.8,,,,,,,,0,https://covers.openlibrary.org/b/id/4005288-L.jpg,
If You Give a Mouse a Brownie,,,,,Laura Numeroff,"Numeroff, Laura",,,,,HarperCollins,10/18/2016,2016,,Juvenile Fiction,"Mouse is back in this ninth picture book in the beloved #1 New York Times bestselling If You Give... series! If you give a mouse a brownie, he's going to ask for some ice cream to go with it. When you give him the ice cream, he'll probably ask you for a spoon. He'll start drumming on the table. Drumming will get him so excited he'll want to start a band. . . .Mouse makes his long-anticipated return to the spotlight in this winning picture book from the acclaimed team of Laura Numeroff and Felicia Bond. Fans of If You Give a Mouse a Cookie won't want to miss this!",,,,,,,32,,,,,English,,,,9.78006E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,iKj5HAAACAAJ,,0,,
If You Were Born a Kitten,,,,,Marion Dane Bauer,"Bauer, Marion Dane",,,,,Simon & Schuster Books for Young Readers,10/1/1997,1997,,Juvenile Fiction,"Twelve kinds of animal babies swim, snuggle, slither, and scoot through this enchanting picture book that celebrates the miracle of birth, the magic of childhood, and you...the most precious baby of all.",,,,,,,32,,,,,English,,,,9.78069E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,VIp1QgAACAAJ,,0,,
Jennie's Hat,,,,,Ezra Jack Keats,"Keats, Ezra Jack",,,,,Turtleback Books,3/1/2003,2003,,Juvenile Fiction,"For use in schools and libraries only. Jennie expects a wonderful hat from her favorite aunt, and is dismayed when the hat she receives is so plain.",,,,,,,40,,23.50 x 1.00 x 20.80 cm,,,English,,,301351,9.78061E+12,0,0,,Unread,,,,,,,0,,,,42:34.6,,,,,,2gLFngEACAAJ,,0,,
Jungle picture puzzle book,,,,,Kirsteen Robson,"Robson, Kirsteen",,,,,,,,,,,,,,,,,32,,,,,,,,1023810908,9.78079E+12,0,0,,Unread,,,,,,,0,,,,48:23.7,,,,,,,,0,,
Let's Go Riding!,,,,,Catherine Saunders,"Saunders, Catherine",,,,,Dorling Kindersley,,2013,,Juvenile Fiction,"An exciting new reader, starring the fabulous LEGO Friends girls! Level 2 readers feature longer sentences and increased vocabulary, information boxes full of extra fun facts, and a simple index. Occasional adult participation is helpful.",,,,,,,32,,15.00 x 0.30 x 22.50 cm,,2.99 USD,English,428.6,PZ7.S2517 Le 2013,825038371,9.78147E+12,0,0,,Unread,,,,,,,0,,,,48:23.8,,,,,,IuTUnQEACAAJ,,0,,
Lift-The-Flap Adding and Subtracting,,,,,"Rosie Hore, Rosie Dickins","Hore, Rosie",,,,,EDC Publishing,,2018,,,"Learn how to add and subtract with this entertaining flap book, packed with helpful tips and tricks, plus fun puzzles and board game. The book covers key school subject matter in a friendly,interactive way - from using number bonds and number lines to adding and subtracting in columns.",,,,,,,16,,,,,English,,,1029354605,9.78079E+12,0,0,,Unread,,,,,,,0,,,,48:23.7,,,,,,2wSnswEACAAJ,,0,,
Little Critter: Just Saving My Money,,,,,Mercer Mayer,"Mayer, Mercer",,,,,Harper Collins,6/22/2010,2010,,Juvenile Fiction,"When Little Critter® wants a new skateboard, Dad tells him that he needs to save his own money to buy it! From feeding the dog to selling lemonade, Little Critter learns the value of a dollar.",,,,,,,32,,15.20 x 0.30 x 22.90 cm,,,English,,,456179707,9.78006E+12,0,0,,Unread,,,,,,,0,,,,48:23.8,,,,,,9jWTkmHDiZMC,,0,,
Little Critter's the Best Present,,,,,Mercer Mayer,"Mayer, Mercer",,,,,Demco Media,,2000,,Brothers and sisters,It's Little Sister's birthday and the Critter family is planning a party. Little Critter searches for the perfect gift for his sister.,,,,,,,,,15.20 x 0.60 x 22.20 cm,,,English,,,,9.78061E+12,0,0,,Unread,,,,,,,0,,,,49:43.9,,,,,,drEJAAAACAAJ,,0,,
Little Sticker Dolly Dressing Pixies,,,,,Fiona Watt,"Watt, Fiona",,,,,EDC Publishing,,2018,,,"""An enchanting activity book filled with pixie dolls for little children to dress using the stickers provided. Each page features a different scene to decorate, from pixies gathering acorns, creating magic potions, dancing with fireflies and more. With over 200 reusable stickers of clothing, accessories, flowers, toadstools and more."" 24+ 10 sticker pages",,,,,,,24,,,,,English,,,,9.78079E+12,0,0,,Unread,,,,,,,0,,,,48:23.7,,,,,,Wa-CswEACAAJ,,0,,
Little Tug,,,,,Stephen Savage,"Savage, Stephen",,,,,Macmillan,10/2/2012,2012,,Juvenile Fiction,"Little Tug may not be very tall or very fast, but when the big ships in the harbor need help, they know they can count on him to be there with a push, a pull, and a ride to safety. But what happens when Little Tug gets tired? This simple, endearing book with a charming retro feel and an emotional punch is the first book for Roaring Brook Press by the acclaimed author of Polar Bear Night (New York Times Best Illustrated book) and Where's Walrus?",,,,,,,32,,,,,English,,,,9.7816E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,SDKLk6vWs1EC,,0,,
Look Inside How Things Work IR,,,,,Rob Lloyd Jones,"Jones, Rob Lloyd",,,,,EDC Publishing,6/1/2019,2019,,,"""Have you ever wondered how cars roar along roads, or planes soar into the sky? With fun flaps to lift, this book explores how all sorts of amazing things work, from the inner workings of cars, boats and construction machines to everyday household items like vacuum cleaners, computers and refrigerators.""",,,,,,,14,,,,,English,,,1051239505,9.78079E+12,0,0,,Unread,,,,,,,0,,,,48:23.6,,,,,,zrnbuAEACAAJ,,0,http://images.amazon.com/images/P/0794542875.01Z.jpg,
Many,,The Diversity of Life on Earth,,,Nicola Davies,"Davies, Nicola",,,,,Candlewick Press,11/7/2017,2017,,JUVENILE NONFICTION,"After magnifying the beauty of unseen organisms in Tiny Creatures, Nicola Davies and Emily Sutton turn their talents to the vast variety of life on Earth.  The more we study the world around us, the more living things we discover every day. The planet is full of millions of species of plants, birds, animals, and microbes, and every single one -- including us -- is part of a big, beautiful, complicated pattern. When humans interfere with parts of the pattern, by polluting the air and oceans, taking too much from the sea, and cutting down too many forests, animals and plants begin to disappear. What sort of world would it be if it went from having many types of living things to having just one? In a beautiful follow-up, the creators of the award-winning Tiny Creatures: The World of Microbes deliver an inspiring look at the extraordinary diversity of Earth's inhabitants -- and the importance of their preservation.",,,,,,,40,,,,,English,,,,9.78076E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,piQtDwAAQBAJ,,0,,
Monster Boogie,,,,,"Laurie Berkner, Ben Clanton","Berkner, Laurie",,,,,Simon and Schuster,,2018,,Texts,,,,,,,,40,,,,,English,782.42 E,PZ8.3.B4558 Mon 2018,990182764,9.78148E+12,0,0,,Unread,,,,,,,0,,,,42:34.6,,,,,,xZxKswEACAAJ,,0,,
Mouse's Birthday,,,,,Jane Yolen,"Yolen, Jane",,,,,Putnam's,,1993,,Juvenile Fiction,"Mouse's house is very, very small. There's hardly any room for anyone but Mouse. So when Cat, Dog, Cow, Horse, and even Farmer arrive with birthday gifts for Mouse, one by one they squeeze themselves inside. And when Mouse blows out the candle on his cake and everybody helps--whoosh! Mouse needs a new house! The cheerful rhyming text in this delightful cumulative tale begs to be read aloud. Full color.",,,,,,,32,,22.20 x 1.30 x 29.00 cm,,,English,[E],PZ8.3.Y76 Mo 1993,25832553,9.7804E+12,0,0,,Unread,,,,,,,0,,,,42:34.6,,,,,,Od15vwOU5j0C,,0,,
My Rotten Redheaded Older Brother,,,,,Patricia Polacco,"Polacco, Patricia",,,,,Simon & Schuster/Paula Wiseman Books,9/1/1994,1994,,Juvenile Fiction,"There's nothing worse than a rotten redheaded older brother who can do everything you can do better! Patricia's brother Richard could run the fastest, climb the highest, and spit the farthest and still smile his extra-rotten, greeny-toothed, weasel-eyed grin. But when little Patricia wishes on a shooting star that she could do something -- anything -- to show him up, she finds out just what wishes -- and rotten redheaded older brothers -- can really do. Patricia Polacco's boldly and exuberantly painted pictures tell a lively and warmhearted tale of comic one-upsmanship and brotherly love.",,,,,,,32,,21.60 x 1.00 x 28.00 cm,,,English,[E],PZ7.P75186 My 1994,28334101,9.78067E+12,0,0,,Unread,,,,,,,0,,,,42:34.6,,,,,,2ZLhAAAAMAAJ,,0,,
Olivia and the Fairy Princesses,,,,,Ian Falconer,"Falconer, Ian",,,,,Atheneum Books for Young Readers,,2012,,Individuality,,,,,,,,,,,,,,[E],PZ7.F1865 Old 2012,777386169,9.78144E+12,0,0,,Unread,,,,,,,0,,,,42:34.6,,,,,,,,0,https://covers.openlibrary.org/b/id/7237293-L.jpg,
