Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
A Funny Little Bird,,,,,Jennifer Yerkes,"Yerkes, Jennifer",,,,,Sourcebooks Jabberwocky,5/7/2013,2013,,Juvenile Fiction,"A heartwarming tale about an invisible bird who learns the key to happiness and friendship  A lonely, invisible bird mistakenly believes that adorning himself with flashy feathers and flowers will make him beautiful and win him new friends. Except his plan quickly backfires when his magnificent plumage attracts the attention of everyone, even the fox! In his rush to safety, the little bird loses every last bit of his new decorations, making him invisible once again. But now in place of his loneliness is the knowledge that putting others first is the key to friendship and high self-esteem.",,,,,,,48,,21.40 x 1.30 x 24.90 cm,,,English,[E],PZ7.Y483 Fun 2013,808413965,9.7814E+12,0,0,,Unread,,,,,,,0,,,,42:34.6,,,,,,uMsDnwEACAAJ,,0,,
Amelia Bedelia's First Library Card,,,,,"Herman Parish, Lynne Avril","Parish, Herman",,,,,Greenwillow Books,,2013,,Fiction,,,,,,,,,,,,,,[E],PZ7.P2185 Arl 2013,808107429,9.78006E+12,0,0,,Unread,,,,,,,0,,,,42:34.6,,,,,,,,0,http://images.amazon.com/images/P/0062095137.01Z.jpg,
Annie and Snowball and the Dress-up Birthday,,,,,Cynthia Rylant,"Rylant, Cynthia",,,,,Simon and Schuster,4/22/2008,2008,,Juvenile Fiction,"Annie and her pet bunny, Snowball, love living next door to Annie's favorite cousin, Henry and his dog, Mudge. Whether it's playing Frisbee or watching old movies, there's no shortage of fun to be had when these four are together.   Annie's birthday is coming up, and she can't wait to invite Henry and Mudge over for a dress-up party. But when the guests arrive, it's Annie who gets the big surprise!",,,,,,,40,,15.20 x 0.50 x 22.90 cm,,,English,,,225868134,9.78142E+12,0,0,,Unread,,,,,,,0,,,,42:34.5,,,,,,6XWVCwAAQBAJ,,0,,
Ballerina Rosie,,,,,Sarah Ferguson,"Ferguson, Sarah",,,,,Simon & Schuster/Paula Wiseman Books,8/28/2012,2012,,Juvenile Fiction,"From New York Times bestselling author Sarah Ferguson, The Duchess of York, a picture book starring a lovable and spunky character who will inspire prima ballerinas everywhere!More than anything, Rosie loves to dance and wants to be a prima ballerina. But when she enrolls in ballet school, she can’t seem to master the plié or balance her arabesque. Never mind the grand jeté! Is there any hope for Rosie’s big dreams? With charming text from Sarah Ferguson, The Duchess of York, and delightful illustrations from Caldecott Honoree Diane Goode, this encouraging story of an aspiring dancer will have readers asking for an encore.",,,,,,,32,,25.40 x 1.30 x 21.00 cm,,,English,[E],PZ7.Y823 Rn 2012,741415784,9.78144E+12,0,0,,Unread,,,,,,,0,,,,42:34.5,,,,,,l_5RXwAACAAJ,,0,,
Ballet School,,,,,"Brett McLaughlin, Gary Pollice, David West","McLaughlin, Brett",,,,,DK Publishing,,2003,,,,,,,,,,,,,,,,,,,9.78079E+12,0,0,,Unread,,,,,,,0,,,,30:57.5,,,,,,,,0,https://img1.doubanio.com/view/subject/l/public/s24419759.jpg,
Disney's Once Upon a Princess,,,,,"Various,","Various,",,,,,Hyperion Book CH,9/1/2006,2006,,Juvenile Fiction,,,,,,,,592,,21.60 x 27.30 cm,,,English,,,81253173,9.78142E+12,0,0,,Unread,,,,,,,0,,,,42:34.5,,,,,,KxAbQQswUpEC,,0,,
Dog Blue,,,,,Polly Dunbar,"Dunbar, Polly",,,,,Candlewick Press,7/22/2004,2004,,Juvenile Fiction,"Fetching illustrations from an exciting new talent enliven this tale of a boy who loves dogs and the color blue — and finds a creative way to make his fantasies come true.Bertie wants a dog, a blue dog, more than anything in the world. For now, though, he likes to pretend he has one, patting it, walking it, even playing both sides of a game of fetch. One day, Bertie finds a real dog, and it's puppy love at first sight — or is it? In this story of an inventive boy who meets the dog of his dreams, Polly Dunbar tells an engaging tale full of whimsy and humor.",,,,,,,40,,22.23 x 0.99 x 26.00 cm,,,English,[E],PZ7.D89445 Do 2004,53132450,9.78076E+12,0,0,,Unread,,,,,,,0,,,,42:34.6,,,,,,yMdaAAAAYAAJ,,0,,
Down by the Cool of the Pool,,,,,Tony Mitton,"Mitton, Tony",,,,,Orchard Books,,2002,,Juvenile Fiction,"From the creators of Giraffes Can't Dance, Down By the Cool of the Pool is a sure-fire hit with fun, rhyming text, and zany illustrations.  There's flipping and flopping, splishing and splashing, wiggling and waggling down by the cool of the pool. Frog, Duck, Horse, Pig, and the rest of the gang dance and sing their way through this wacky, watery wonderful story told with a catchy rhyming text and bold, vibrant illustrations. The fun is positively infectious, and you just may find yourself dancing and singing along with Frog and his frolicking friends. Children will delight in this rollicking farmyard romp, an adventure in musical activity--perfect for the nonstop toddler.",,,,,,,32,,24.70 x 0.90 x 31.00 cm,,,English,[E],PZ8.3.M685 Do 2002,46918158,9.78044E+12,0,0,,Unread,,,,,,,0,,,,42:34.5,,,,,,jOnJGwAACAAJ,,0,,
Eggday,,,,,Joyce Dunbar,"Dunbar, Joyce",,,,,Holiday House,,1999,,Juvenile Fiction,Dora the duck involves the other barnyard animals in a contest to find out who can lay the best egg.,,,,,,,32,,22.50 x 1.00 x 27.00 cm,,,English,[E],PZ7.D8944 Eg 1999,40200234,9.78082E+12,0,0,,Unread,,,,,,,0,,,,42:34.6,,,,,,k8daAAAAYAAJ,,0,,
Follow Those Feet!,,,,,Christine Ricci,"Ricci, Christine",,,,,Simon and Schuster,6/1/2003,2003,,Juvenile Fiction,Level 1: Starting to Read  • Simple stories  • Increased vocabulary  • Longer sentences  Dora and Boots found some footprints in the sandbox. Whose feet do they belong to? Follow them to find out!,,,,,,,24,,15.20 x 0.30 x 23.00 cm,,,English,[E],PZ7.R355 Fo 2003,49558914,9.78069E+12,0,0,,Unread,,,,,,,0,,,,42:34.5,,,,,,GuiuF1Tm-N0C,,0,,
