Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Pete the Cat and the New Guy,,,,,James Dean & Kimberly Dean,"Dean, James",,,,,"Harper, an imprint of HarperCollins Publishers",2014/08/05,2014,,Animals,"From the bestselling Pete the Cat series comes a story about friendship and acceptance.There's a new guy in town, and Pete can't wait to meet him. After all, more friends mean more fun. When Pete finally meets Gus, he realizes they're very different from each other...but that's what makes him cool. Gus is special in his own way, just like Pete and just like you, and there is something everyone can do!The message of acceptance shines through and is perfect for young readers learning to navigate the social waters. Fans of Pete the Cat will delight in the rhythmic storytelling and fun repetition throughout the book.The fun never stops—download the free groovin’ song!",,,,,,,,,,,,,,,,9780062275608,0,0,,Unread,,,,,,,0,,,,2018/11/13 14:28:19.595628976,,,,,,,,0,https://is4-ssl.mzstatic.com/image/thumb/Publication6/v4/57/33/90/57339086-3f07-7b41-c2c1-6eaff4273188/source/512x512bb.jpg,
Pete the Cat Saves Christmas,,,,,Eric Litwin,"Litwin, Eric",,,,,HarperCollins,2012/09/25,2012,,Juvenile Fiction,"'Twas the day before Christmas and Santa was ill. In the cold winter wind he had caught a bad chill. Will Christmas be canceled? Will it come to that? ""Never!"" cried Santa.  ""Let's call Pete the Cat!""   In this rockin' new spin on the traditional tale The Night Before Christmas, Pete the Cat proves that giving your all in the spirit of Christmas is the totally groovy thing to do.",,,,,,,40,,,,,English,,,,9780062110633,0,0,,Unread,,,,,,,0,,,,2018/11/27 14:32:52.440384030,,,,,,J46FtgAACAAJ,,0,,
Pinkalicious and the New Teacher,,,,,Victoria Kann,"Kann, Victoria",,,,,HarperCollins,2014/06/24,2014,,Juvenile Fiction,"Stay tuned for a brand-new show coming in winter 2018 to PBS Kids: Pinkalicious & Peterrific!It's the first day of school, and that means a brand-new teacher, Ms. Penny! Pinkalicious misses her old teacher until she comes up with an idea to make the classroom feel a little more familiar and a lot more pinkerrific. Number one New York Times bestselling author Victoria Kann is back with this 8x8 school story, complete with a foldout poster, bookmarks, and stickers!",,,,,,,24,,,,,English,,,,9780062189134,0,0,,Unread,,,,,,,0,,,,2018/11/27 14:31:08.928141951,,,,,,3eJLnwEACAAJ,,0,,
Pinkalicious and the Pink Hat Parade,,,,,Victoria Kann,"Kann, Victoria",,,,,HarperCollins,2012/01/24,2012,,Juvenile Fiction,"Pinkalicious and Peter both enter the Spring Hat Parade contest! Using paper, glitter, and tons of imagination, Pinkalicious creates a sparkly masterpiece, while Peter ends up in a sticky situation. Fortunately, Pinkalicious knows just how to save the day.",,,,,,,24,,,,,English,,,,9780061989605,0,0,,Unread,,,,,,,0,,,,2018/11/06 14:25:40.950204014,,,,,,XFCGZwEACAAJ,,0,,
Pinkalicious: Merry Pinkmas!,,,,,Victoria Kann,"Kann, Victoria",,,,,HarperCollins,2013/09/24,2013,,Juvenile Fiction,"Stay tuned for a brand-new show coming in winter 2018 to PBS Kids: Pinkalicious & Peterrific!Join Pinkalicious as she celebrates Christmas in New York Times bestselling author and artist Victoria Kann’s Pinkalicious: Merry Pinkmas!—complete with poster, cards, and sticker sheet!This year Pinkalicious has decided she wants a bright pink artificial Christmas tree. But Mommy and Daddy immediately say no—the Pinkertons always get real trees for the holidays. Despite Pinkalicious’s begging and pleading, each family member has a different objection: real trees smell better; it’s tradition; and there is definitely no room to store a big pink tree in the house after Christmas! Pinkalicious is disappointed, but she tries to put on her best cheerful face. Then, the day before Christmas, Mommy and Daddy surprise Pinkalicious by coming home with a gorgeously pink artificial tree and Pinkalicious is delighted! It’s pinkatastic!",,,,,,,24,,,,,English,,,,9780062189127,0,0,,Unread,,,,,,,0,,,,2018/11/13 14:27:56.716696977,,,,,,_ePFlwEACAAJ,,0,,
Pinkalicious: Pink or Treat!,,,,,Victoria Kann,"Kann, Victoria",,,,,HarperCollins,2013/07/23,2013,,Juvenile Fiction,"Kids will have a pinkatastic Halloween with Victoria Kann’s Pinkalicious: Pink or Treat!, an 8x8 illustrated storybook.Pinkalicious can’t believe it: The mayor has canceled Halloween because a storm has knocked out the town’s power. No Halloween means no Halloween candy. No Halloween jack-o’-lanterns. No Halloween trick-or-treating. No Halloween holiday parties. And worst of all, no Halloween costumes. Pinkalicious has the perfect Pinkagirl costume and she absolutely has to wear it.Superhero Pinkagirl would find a way to save Halloween, and Pinkalicious decides she will too. All she needs to do is figure out a way to get the town’s lights back on. The lights don’t come on—here’s what happens: Pinkalicious persuades the Mayor to have a Halloween party in the park in front of City Hall—from all over town, folks come with their flashlights, their pink pumpkins, and goodies to share.Pinkalicious: Pink or Treat! comes with a sheet of stickers kids can use to decorate Pinkalicious’s town for Halloween.",,,,,,,24,,,,,English,,,,9780062187703,0,0,,Unread,,,,,,,0,,,,2018/11/13 14:25:49.654741048,,,,,,Q7fnMgEACAAJ,,0,,
Pinkalicious: Thanksgiving Helper,,,,,Victoria Kann,"Kann, Victoria",,,,,HarperCollins,2014/08/26,2014,,Juvenile Fiction,"It's Thanksgiving Day, and Pinkalicious and Peter decide to be Thanksgiving helpers!",,,,,,,24,,,,,English,,,,9780062187741,0,0,,Unread,,,,,,,0,,,,2018/11/06 14:25:28.483366012,,,,,,QK0cnwEACAAJ,,0,,
Pinkalicious: The Pinkamazing Storybook Collection,,,,,Victoria Kann,"Kann, Victoria",,,,,HarperCollins,2013/04/23,2013,,Juvenile Fiction,"Pinkalicous has fun, fun, fun in all six books in Pinkalicious: The Pinkamazing Storybook Collection—and her readers will, too. Pinkalicious has a playdate with her friend Rosie. She has a slumber party with a dragon as a guest. She has an adventure with a monkey at the zoo. She takes a ride on her unicorn, Goldilicious, and visits soccer players all over the world. Pinkalicious and Peter enter a hat parade. And she gets to be the flower girl in a wedding. Four I Can Read Books are included in the set: The Pinkerrific Playdate, Pinkalicious: The Princess of Pink Slumber Party, Pinkalicious and the Pinkatastic Zoo Day, and Pinkalicious: Soccer Star. Two 8x8 storybooks round out the package: Pinkalicious and the Pink Hat Parade and Pinkalicious: Flower Girl.",,,,,,,192,,,,,English,,,,9780062188007,0,0,,Unread,,,,,,,0,,,,2018/11/07 14:24:52.531337976,,,,,,y9nRMgEACAAJ,,0,,
Pirate Princess,,,,,Sudipta Bardhan-Quallen,"Bardhan-Quallen, Sudipta",,,,,HarperCollins,2012/05/08,2012,,Juvenile Fiction,"Princess Bea isn’t like other princesses—she prefers pirate ships above tea parties, the salty sea over silly dolls. But what’s a landlocked princess to do?   Ahoy, Captain Jack to the rescue! When the captain offers Bea a place aboard his ship, it’s a dream come true—until she’s put to work swabbing the decks and making dinner for the crew. Can a princess like Bea put her royal gifts to work and make the pirates see that she’s seaworthy after all—or will they make her walk the plank?   Pirate Princess is a raucous tale of girl power on the high seas, from author Sudipta Bardhan-Quallen and illustrator Jill McElmurry.",,,,,,,40,,,,,English,,,,9780061142420,0,0,,Unread,,,,,,,0,,,,2018/11/27 14:34:22.361647009,,,,,,esOZZwEACAAJ,,0,,
"Princess, Princess",,,,,Penny Dale,"Dale, Penny",,,,,Candlewick Press,,2007,,Juvenile Fiction,"A charmingly illustrated story about friendship and forgiveness. Loosely based on the tale of Sleeping Beauty, this is the magical story of a pretty princess who forgets to invite one frowning little fairy to her party. The fairy, in a fit of pique, casts a naughty, nasty spell. But she regrets her temper tantrum and, with a kiss, makes everything all right once again.",,,,,,,32,,,,,English,,,,9780763635657,0,0,,Unread,,,,,,,0,,,,2018/11/13 14:28:57.714838981,,,,,,bPXhGAAACAAJ,,0,,
