Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Aqualicious,,,,,Victoria Kann,"Kann, Victoria",,,,,HarperCollins,2015/03/03,2015,,Juvenile Fiction,"Fun in the sun becomes an aqualicious adventure when Pinkalicious meets a miniature mermaid in #1 New York Times bestselling author Victoria Kann's popular hardcover picture book starring Pinkalicious.Pinkalicious and her family go on a trip to the beach for a day of sun, fun, and sand castles! The day gets even more exciting when Pinkalicious finds a mini-mermaid named Aqua while she's collecting shells. Aqua wants to find her way home, and Pinkalicious and Peter decide to help—after they show her all of the pinkamazing things to do at the seashore! Pinkalicious stars in five picture books—Pinkalicious, Goldilicious, Silverlicious, Emeraldalicious, and Aqualicious—as well as I Can Reads, doodle books, and more!",,,,,,,40,,,,,English,,,,9780062330161,0,0,,Unread,,,,,,,0,,,,2018/09/19 07:38:40.683061003,,,,,,wnrfoAEACAAJ,,0,,
Ballerina Princess,,,,,Melissa Lagonegro,"Lagonegro, Melissa",,,,,Random House,,2007,,Juvenile Fiction,"Tutus and toe-shoes—what could be more fun? A Princess wearing them—of course! For the first time ever, the Disney Princesses become ballerinas. Cinderella, Belle, Snow White, and others will dance and spin themselves into the hearts of Princess fans in this sweet Step 2 reader.",,,,,,,32,,,,,English,,,,9780736424288,0,0,,Unread,,,,,,,0,,,,2018/09/19 07:38:40.692636013,,,,,,9QqsuAEACAAJ,,0,,
Bats at the Library,,,,,Brian Lies,"Lies, Brian",,,,,Houghton Mifflin Harcourt Publishing Company,,2008,,Juvenile Fiction,"Houghton Mifflin Company Another inky evening's here? The air is cool and calm and clear.Can it be true? Oh, can it be?Yes!?Bat Night at the library!Join the free-for-all fun at the public library with these book-loving bats! Shape shadows on walls, frolic in the water fountain, and roam the book-filled halls until it's time for everyone, young and old, to settle down into the enchantment of story time. Brian Lies' joyful critters and their nocturnal celebration cast library visits in a new light. Even the youngest of readers will want to join the batty book-fest!",,,,,,,32,,,,,English,,,,9780618999231,0,0,,Unread,,,,,,,0,,,,2018/09/19 07:38:40.742601990,,,,,,8X-9YgEACAAJ,,0,,
Be A Tree,,,,,Jordan P. Novak,"Novak, Jordan P.",,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,Unread,,,,,,,0,,,,2018/09/13 08:56:13.625015974,,,,,,,,0,https://s3.amazonaws.com/kimicoapps-bookbuddy/98A42DCF-E8A3-4D15-9EF4-81C3B892A855,
Good Night Stories for Rebel Girls,,,,,"Elena Favilli, Francesca Cavallo","Favilli, Elena",,,,,"Timbuktu Labs, Incorporated",2018/02/01,2018,,,"""Good Night Stories For Rebel Girls 2"" is the sequel to the sensational New York Times bestseller, and the most crowdfunded book of all times. The authors, Francesca Cavallo and Elena Favilli, will take you and your kids on an empowering journey through 100 new bedtime stories, featuring the adventures of extraordinary women from Nefertiti to Beyoncé. The unique narrative style of ""Good Night Stories for Rebel Girls"" transforms each biography into a fairy-tale, filling the readers with wonder and with a burning curiosity to know more about each hero. Good Night Stories for Rebel Girls 2 boasts a brand new graphic design, a glossary and 100 incredible new portraits created by the best female artists of our time. ""This amazing book shows girls they can be anything they want."" - Melinda Gates ""Essential reading for girls and indeed boys; children who read this at bedtime are guaranteed some big and inspirational dreams."" - Fiona Noble, The Guardian ""The anti-princess book teaching girls to rebel."" - Georgina Rannard, BBC News",,,,,,,212,,,,,English,,,,9780997895827,0,0,,Unread,,,,,,,0,,,,2018/09/19 07:38:40.647987008,,,,,,cs-YswEACAAJ,,0,,
Hansel and Gretel,,,,,James Marshall,"Marshall, James",,,,,Dial Books for Young Readers,,1990,,In library,,,,,,,,32,,,,,,,,,9780803708273,0,0,,Unread,,,,,,,0,,,,2018/09/13 08:54:51.478963971,,,,,,,,0,https://covers.openlibrary.org/b/id/575104-L.jpg,
I Am Not Going to Get Up Today!,,,,,Dr. Seuss,"Seuss, Dr.",,,,,Beginner Book,,1987,,Juvenile Fiction,"Illus. in full color. ""A rhyming story that is full of laughs. 'The alarmcan ring. The birds can peep....Today's the day I'm going to sleep, ' says alazy boy one morning, and despite a pail of icy water, television coverage, andthe arrival of the Marines, he vows to stay in bed--and he does! The repetitionof concepts and words will keep children turning the pages, as will theenergetic drawings. A sure draw for early readers.""-- ""Booklist. """,,,,,,,40,,,,,English,,,,9780394992174,0,0,,Unread,,,,,,,0,,,,2018/09/19 07:38:40.729009032,,,,,,b0TunQEACAAJ,,0,,
Kitten Construction Company: Meet the House Kittens,,,,,John Patrick Green,"Green, John Patrick",,,,,First Second,2018/09/04,2018,,Juvenile Fiction,"Can you be too cute for your own good? Sadly, the answer is yes. In a world where kittens and humans coexist, several talented kittens with skills in architecture, construction, engineering, and plumbing have discovered that nobody will take them seriously in the workplace because they are just too darned adorable. So the kittens take matters into their own hands, and form their own all-feline firm: the Kitten Construction Company! They're going to build the best mayor's mansion the city has ever seen . . . just as soon as they can stop chasing laser pointers.With adorable art and a hilarious, pun-filled story, Kitten Construction Company is the latest kid-friendly comic from Hippopotamister author-illustrator John Patrick Green.",,,,,,,80,,,,,English,,,,9781626728301,0,0,,Unread,,,,,,,0,,,,2018/09/19 07:38:40.671444058,,,,,,_5NUDwAAQBAJ,,0,,
Little Critter's Read-it-yourself Storybook,,Six Funny Easy-to-read Stories,,,Mercer Mayer,"Mayer, Mercer",,,,,Random House Children's Books,,1993,,Animals,"The lively stories in this collection, prepared with the guidance of a reading expert, are just right for young children beginning to read on their own. The stories feature words and short sentences selected especially for new readers. Children will enjoy the adventures of Littel Critter, Little Sister, and all their friends. The six easy-to-read stories gathered together in this big book are sure to provide hours of reading fun.",,,,,,,192,,,,,English,,,,9780307168405,0,0,,Unread,,,,,,,0,,,,2018/09/19 07:39:24.664417982,,,,,,xi5NosFfPaAC,,0,,
"Mom, Dad, Our Books, and Me",,,,,Danielle Marcotte,"Marcotte, Danielle",,,,,Owlkids Books Incorporated,2016/04/12,2016,,Juvenile Fiction,"Reading takes many forms. Some of us read novels, while others read cookbooks, sheet music, tarot cards, or even the stars in the sky. We read clocks, train schedules, and facial expressions. In this ode to reading, each form is celebrated. Mom, Dad, Our Books, and Mefollows a young boy and those around him -- parents, grandparents, aunts and uncles, and neighbors -- as they all read, immersed in what moves them.  Vibrant, whimsical paper collage artwork depicts the colors and textures of the many places in which we read, from hammocks and bubble baths to park benches and waiting rooms. The diverse cityscapes and landscapes often include fanciful elements of imagination.  Mom, Dad, Our Books, and Mewill leave young readers reveling in this newfound or soon-to-come skill that sparks new adventures and brings people together.",,,,,,,32,,,,,English,,,,9781771472012,0,0,,Unread,,,,,,,0,,,,2018/09/19 07:38:40.749075055,,,,,,5AUWswEACAAJ,,0,,
