Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Editor,Publisher,Date Published,Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Ten Orange Pumpkins,,A Counting Book,,,Stephen Savage,"Savage, Stephen",,,,,Penguin Group (USA) Incorporated,,2013,,Juvenile Fiction,"""Spooktacular""  -- Daily Candy  ""Savage’s spirited rhymes (no pun intended) make this an ideal readaloud for younger Halloween celebrants.""          --Publishers Weekly (starred review)  ""The landscapes Savage creates… have a softness and gentle humor that will capture the imaginations of young children and add to their anticipation.""  --Kirkus Reviews   From a sneaky spider to a ghostly chef to a sly mummy and crafty witch, join your favorite spooky creatures as ten orange pumpkins disappear in a countdown to a Halloween surprise. Bright, bold, and fun, Ten Orange Pumpkins is a perfect read-aloud and is sure to capture the imagination of the littlest trick-or-treaters.",,,,,,,40,,,,,English,,,,9780803739383,0,0,,Unread,,,,,,,0,,,,2018/10/31 06:35:59.284029960,,,,,,k_K2ngEACAAJ,,0,,
United States Military Academy 101,,My First Text-Board-Book (101 My First Text-Board-Book),,,Brad M Epstein,"Epstein, Brad M",,,,,Michaelson Entertainment,2006/10/31,2006,,,,,,,,,,20,,,,,,,,,9781932530421,0,0,,Unread,,,,,,,0,,,,2018/10/16 06:51:30.461004972,,,,,,,,0,https://covers.openlibrary.org/b/id/5192580-L.jpg,
"Say ""Cheese!",,,,,Christine Ricci,"Ricci, Christine",,,,,Simon and Schuster,2004/05/04,2004,,Juvenile Fiction,"Poor Boots is sick in bed. Luckily, Dora has a great idea to cheer him up. Little fans can help Dora take photos of all the things that Boots likes best. Full color.",,,,,,,24,,,,,English,,,,9780689864964,0,0,,Unread,,,,,,,0,,,,2018/10/02 07:28:47.490849971,,,,,,_WU762-pSfAC,,0,,
Little Quack's New Friend,,,,,Lauren Thompson,"Thompson, Lauren",,,,,Simon and Schuster,2006/01/10,2006,,Juvenile Fiction,"Widdle, Waddle, Piddle, Puddle, and Little Quack think there's nothing more fun than playing with one another. But one day a new creature splunks into their pond.  HE RIBBITS, HE LEAPS, AND HE'S GREEN!  At first Little Quack is shy. But pretty soon he just might be quacking AND ribbiting a new tune: MAKING NEW FRIENDS RULES!  With rhythm and spirit, acclaimed author Lauren Thompson sails a key lesson about growing up, in Derek Anderson's splendidly illustrated pond.",,,,,,,32,,,,,English,,,,9780689868931,0,0,,Unread,,,,,,,0,,,,2018/10/02 07:28:24.942106962,,,,,,aW7iAAAAQBAJ,,0,,
"Stella, Princess of the Sky",,,,,Marie-Louise Gay,"Gay, Marie-Louise",,,,,Groundwood Books Ltd,,2004,,Juvenile Fiction,"Another adventure begins for Stella and her brother, Sam, as they explore the wonders of the natural world. A vast luminous sky, the sun, the stars and the rising moon form the backdrop for their nocturnal expedition. As they encounter raccoons, fireflies, tree frogs and bats, Sam wonders if the moon can swim, if the sun wears pajamas or if he can catch shooting stars with his butterfly net. Stella, as always, has an answer for every question.  Marie-Louise Gay delights readers once again with this whimsical, tender and humorous book that captures perfectly the freshness of young children discovering the world.",,,,,,,32,,,,,English,,,,9780888996015,0,0,,Unread,,,,,,,0,,,,2018/10/02 07:28:24.923696994,,,,,,3n-KVk2Ud80C,,0,,
Monarch Butterfly of Aster Way,,,,,Elizabeth Ring,"Ring, Elizabeth",,,,,Soundprints,2002/04/01,2002,,,,,,,,,,32,,,,,,,,,9781931465403,0,0,,Unread,,,,,,,0,,,,2018/10/02 07:28:24.905648946,,,,,,,,0,https://covers.openlibrary.org/b/id/956609-L.jpg,
The Things That Are Most In the World,,,,,Judi Barrett,"Barrett, Judi",,,,,Atheneum Books for Young Readers,1998/04/01,1998,,Juvenile Fiction,"Want to know what are the quietest, silliest, smelliest, wiggliest things in the world? Look no further for imaginative answers to these and other questions about superlatives. An ice-skating snake and a dragon eating pepperoni pizza are just two of the amazing “mosts” to ponder in this book that will stretch the imagination and send readers young and old into fits of laughter.",,,,,,,32,,,,,English,,,,9780689813337,0,0,,Unread,,,,,,,0,,,,2018/10/02 07:28:24.888095021,,,,,,Sv4EAAAACAAJ,,0,,
A Leaf Can Be--,,,,,Laura Purdie Salas,"Salas, Laura Purdie",,,,,Millbrook Press,2012/01/01,2012,,Juvenile Nonfiction,A leaf can be a...Shade spiller...Mouth filler...Tree topper...Rain stopper....Find out about the many roles leaves play in this poetic exploration of leaves throughout the year.,,,,,,,32,,,,,English,,,,9780761362036,0,0,,Unread,,,,,,,0,,,,2018/10/02 07:28:24.869840025,,,,,,gwD7Plj43AcC,,0,,
"Good Morning, Digger",,,,,Anne F. Rockwell,"Rockwell, Anne F.",,,,,Viking,,2005,,Juvenile Fiction,"When a group of construction trucks comes rolling down the street and gets to work on an empty lot, a young boy is fascinated by all the excitement, noise, and movement taking place as the wonderful new structure slowly begins to take shape.",,,,,,,32,,,,,English,,,,9780670059591,0,0,,Unread,,,,,,,0,,,,2018/10/02 07:28:24.850970029,,,,,,Rex0AAAACAAJ,,0,,
World of Reading: Mickey Mouse Clubhouse Minnie-rella,,Level 1,,,"Disney Book Group, Lisa Ann Marsoli","Group, Disney Book",,,,,Disney Press,2013/12/17,2013,,Juvenile Fiction,"In this adorable Minnie Mouse fairy tale based on the story of Cinderella, Minnie falls asleep while doing chores and dreams that she becomes Minnie-rella! In this Level Pre-1 Reader with picture reading, word repetition and short, simple sentences, children will be able to enjoy this Minnie fairy tale on their own. Based on the Disney Junior movie event airing in February 2014!",,,,,,,32,,,,,English,,,,9781423164173,0,0,,Unread,,,,,,,0,,,,2018/10/02 07:28:24.829818010,,,,,,tf-RMQEACAAJ,,0,,
