Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Publisher,Date Published,Year Published,Genre,Edition,Editor,Summary,Guided Reading Level,Lexile Measure,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,Word Count,Original Title,Number of Pages,Format,Dimensions,Weight,List Price,Language,DDC,LCC,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Uploaded Image URL,Activities
Flood Fish,,,,Robyn Eversole,"Eversole, Robyn",,,,Crown,,1995,Fishes,,,"Near a child's house in the middle of the Australian Outback, rainy days are few and far between. When one comes, a normally dry riverbed fills up with rain--and fish. Big fish. Nobody is quite sure where the fish come from. Filled with striking paintings that capture all the magic of the Outback, this picture-book presentation of a mysterious natural phenomenon is perfect for young naturalists. Full color.",,,,,,,,32,,,,,English,,,,9780517597057,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:13:15.159355998,,,,,,Vyyknzfg6EUC,,0,,
Alison's Zinnia,,,,Anita Lobel,"Lobel, Anita",,,,"Baker & Taylor, CATS",2009/07/10,2009,,,,"Alison acquired an amaryllis for Beryl who bought a begonia for Crystal--and so on through the alphabet, as full-page illustrations are presented of each flower.",,,,,,,,32,,,,,English,,,,9781442011410,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:12:57.760972976,,,,,,842yPgAACAAJ,,0,,
Olivia and the Fairy Princesses,,,,Ian Falconer,"Falconer, Ian",,,,Atheneum Books for Young Readers,,2012,Individuality,,,,,,,,,,,,,,,,,,,,9781442450271,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.383378028,,,,,,,,0,https://covers.openlibrary.org/b/id/7237293-L.jpg,
David's Drawings,,,,Cathryn Falwell,"Falwell, Cathryn",,,,Lee & Low Books,,2001,Juvenile Fiction,,,"One winter day David sees a beautiful bare tree. As soon as he gets to school, this shy young boy who loves to draw begins a beautiful picture of the tree he has seen. One by one his classmates come by with suggestions for the drawing, but the fun really starts when they all join David to add grass, stickers, clouds, a rainbow, and other imaginative details to the picture. And as the drawing develops, David overcomes his shyness and finds a way to make new friends.David's Drawings is a gentle celebration of a child's creativity that speaks directly to the experiences of children. This reassuring story is sure to provide comfort and encouragement as children face the challenge of making friends in new situations.",,,,,,,,32,,,,,English,,,,9781584300311,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.376762032,,,,,,QDjhPAAACAAJ,,0,,
The Fabulous Four Skunks,,,,David Fair,"Fair, David",,,,Houghton,,1996,Fiction,,,"Four skunks form a rock-and-roll band, but at their first audition they are told they stink! But soon, thanks to the ingenuity of the manager, the Fabulous Four Skunks seem destined for success. ""Readers will love the fact that the skunks have no clue of their embarrassing situation. This is a fun read-aloud choice for children who crave more sophisticated content but still enjoy picture books."" -- School Library Journal",,,,,,,,32,,,,,English,,,,9780395735725,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.369246006,,,,,,ZsZaAAAAYAAJ,,0,,
Kid Tea,,,,Elizabeth Ficocelli,"Ficocelli, Elizabeth",,,,M. Cavendish Children,,2007,Juvenile Fiction,,,"Monday, fun day, mud-pies-in-the-sun day.What do you get when you dunk two muddy kids in a bathtub full of clean water? Kid Tea!The water in the tub changes color to match the food the brother and sister ate or the things they played with during the day. Brown for mud, purple for popsicles - a different color of ""kid tea"" for each day of the week! Kids will enjoy the repetitive, sing-song text: ""dunk me in the tub, please, for blue kid tea!"" Glin Dibley's playful art rendered in acrylic, color pencil, and digital techniques lends a hand in helping children learn about colors and the days of the week.",,,,,,,,40,,,,,English,,,,9780761453338,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.361935973,,,,,,VebvAAAAMAAJ,,0,,
Yoko & Friends,,,,Rosemary Wells,"Wells, Rosemary",,,,Disney-Hyperion,1998/11/13,1998,Juvenile Fiction,,,"What a great day it's going to be! Yoko's mother has made her favorite sushi for lunch. But when lunchtime arrives, suddenly everyone notices her sushi and the teasing starts. Rosemary Wells creates a tender, irresistible story, true to the heart of childhood.",,,,,,,,32,,,,,English,,,,9780786823451,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.355695962,,,,,,UF7hAAAAMAAJ,,0,,
Princess Cupcake Jones and the Dance Recital,,,,Ylleya Fields,"Fields, Ylleya",,,,Belle Publishing,2016/09/12,2016,Juvenile Fiction,,,"Follow Princess Cupcake Jones as she learns that determination and practice bring positive results and surprises. Taking dance classes with her friends is the highlight of her week. But when Cupcake struggles to do everything 'just right' before the recital, she isn't sure if she'll be able to master it all in time. The gentle rhyming cadence, vibrant illustrations, and captivating pages deliver valuable life lessons and family values. As an added bonus in each book of the series, children will also enjoy finding the hidden word in each inviting illustration. Helpful hints are a part of the book's website, which also features downloadable color pages and other activities.",,,,,,,,32,,,,,English,,,,9780990998679,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.348083972,,,,,,o3jbjwEACAAJ,,0,,
Emma's Circus,,,,Candace Fleming,"Fleming, Candace",,,,"Farrar, Straus and Giroux (BYR)",2017/07/25,2017,Juvenile Fiction,,,"Emma has never been to a circus, so she is especially excited to see a circus parade in town. But even though she begs to go, her father says no--they have to get their farm ready for winter. The next day the bear from the circus appears at the farm--and when Emma tells her father about it, he's too busy picking apples to pay attention--so she and the bear play in the barn until it is time for supper. Emma's family is so busy that they don't notice that the bear returns every day bringing someone new from the circus: two seals with tin horns, three juggling monkeys, four knock-kneed camels until the day the commotion in the barn is so loud that it can't be ignored. When Daddy flings open the barn doors, he discovers Emma and her amazing circus.",,,,,,,,40,,,,,English,,,,9780374399078,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.341685056,,,,,,W1QnDwAAQBAJ,,0,,
Rainbow Stew,,,,Cathryn Falwell,"Falwell, Cathryn",,,,"Lee & Low Books, Incorporated",,2013,Juvenile Fiction,,,"It's a rainy summer day, but the vegetables in grandpa's garden are just waiting to be picked. Yellow peppers, purple cabbage, red tomatoes, green courgettes, orange carrots and more. So many colours! So many delicious ingredients to slice, chop, peel and dice for a great big pot of mouth-watering Rainbow Stew. Join the fun of these three children creating colourful, creative and, most importantly, healthy food.",,,,,,,,32,,,,,English,,,,9781600608476,0,0,,Unread,,,,,,,0,,,,2018/05/18 13:11:23.334700942,,,,,,94lUnwEACAAJ,,0,,
